# Nx=1000 Ny=4 Lx=3500.0 Ly=67.5 lambda=13.50
# i j x_nm y_nm |E|^2 Re(Ey)
0 0 0.000000 0.000000 0.62891221289719568 0.051163936849102587
0 1 0.000000 22.500000 0.62891221289719568 0.051163936849102587
0 2 0.000000 45.000000 0.62891221289719568 0.051163936849102587
0 3 0.000000 67.500000 0.62891221289719568 0.051163936849102587
1 0 3.503504 0.000000 0.62808930823202436 0.051402319332441909
1 1 3.503504 22.500000 0.62808930823202436 0.051402319332441909
1 2 3.503504 45.000000 0.62808930823202436 0.051402319332441909
1 3 3.503504 67.500000 0.62808930823202436 0.051402319332441909
2 0 7.007007 0.000000 0.62678876046385112 0.051456855896073961
2 1 7.007007 22.500000 0.62678876046385112 0.051456855896073961
2 2 7.007007 45.000000 0.62678876046385112 0.051456855896073961
2 3 7.007007 67.500000 0.62678876046385112 0.051456855896073961
3 0 10.510511 0.000000 0.62523500335074778 0.051318037180049215
3 1 10.510511 22.500000 0.62523500335074778 0.051318037180049215
3 2 10.510511 45.000000 0.62523500335074778 0.051318037180049215
3 3 10.510511 67.500000 0.62523500335074778 0.051318037180049215
4 0 14.014014 0.000000 0.62369592892775227 0.051009593183954385
4 1 14.014014 22.500000 0.62369592892775227 0.051009593183954385
4 2 14.014014 45.000000 0.62369592892775227 0.051009593183954385
4 3 14.014014 67.500000 0.62369592892775227 0.051009593183954385
5 0 17.517518 0.000000 0.62243643487670797 0.050584437984573072
5 1 17.517518 22.500000 0.62243643487670797 0.050584437984573072
5 2 17.517518 45.000000 0.62243643487670797 0.050584437984573072
5 3 17.517518 67.500000 0.62243643487670797 0.050584437984573072
6 0 21.021021 0.000000 0.62167288748358307 0.050115594537566338
6 1 21.021021 22.500000 0.62167288748358307 0.050115594537566338
6 2 21.021021 45.000000 0.62167288748358307 0.050115594537566338
6 3 21.021021 67.500000 0.62167288748358307 0.050115594537566338
7 0 24.524525 0.000000 0.62153629724755866 0.049683655642378421
7 1 24.524525 22.500000 0.62153629724755866 0.049683655642378421
7 2 24.524525 45.000000 0.62153629724755866 0.049683655642378421
7 3 24.524525 67.500000 0.62153629724755866 0.049683655642378421
8 0 28.028028 0.000000 0.62205025136381276 0.049362933663911257
8 1 28.028028 22.500000 0.62205025136381276 0.049362933663911257
8 2 28.028028 45.000000 0.62205025136381276 0.049362933663911257
8 3 28.028028 67.500000 0.62205025136381276 0.049362933663911257
9 0 31.531532 0.000000 0.6231270502546874 0.049208678670602898
9 1 31.531532 22.500000 0.6231270502546874 0.049208678670602898
9 2 31.531532 45.000000 0.6231270502546874 0.049208678670602898
9 3 31.531532 67.500000 0.6231270502546874 0.049208678670602898
10 0 35.035035 0.000000 0.62458254154927584 0.049247562957316325
10 1 35.035035 22.500000 0.62458254154927584 0.049247562957316325
10 2 35.035035 45.000000 0.62458254154927584 0.049247562957316325
10 3 35.035035 67.500000 0.62458254154927584 0.049247562957316325
11 0 38.538539 0.000000 0.62616722658742763 0.049473070359593467
11 1 38.538539 22.500000 0.62616722658742763 0.049473070359593467
11 2 38.538539 45.000000 0.62616722658742763 0.049473070359593467
11 3 38.538539 67.500000 0.62616722658742763 0.049473070359593467
12 0 42.042042 0.000000 0.62760863707212944 0.049846587167086134
12 1 42.042042 22.500000 0.62760863707212944 0.049846587167086134
12 2 42.042042 45.000000 0.62760863707212944 0.049846587167086134
12 3 42.042042 67.500000 0.62760863707212944 0.049846587167086134
13 0 45.545546 0.000000 0.62865803848554769 0.050304012180207636
13 1 45.545546 22.500000 0.62865803848554769 0.050304012180207636
13 2 45.545546 45.000000 0.62865803848554769 0.050304012180207636
13 3 45.545546 67.500000 0.62865803848554769 0.050304012180207636
14 0 49.049049 0.000000 0.62913354486176798 0.050766754675102388
14 1 49.049049 22.500000 0.62913354486176798 0.050766754675102388
14 2 49.049049 45.000000 0.62913354486176798 0.050766754675102388
14 3 49.049049 67.500000 0.62913354486176798 0.050766754675102388
15 0 52.552553 0.000000 0.62895204025454288 0.051155233809653367
15 1 52.552553 22.500000 0.62895204025454288 0.051155233809653367
15 2 52.552553 45.000000 0.62895204025454288 0.051155233809653367
15 3 52.552553 67.500000 0.62895204025454288 0.051155233809653367
16 0 56.056056 0.000000 0.62814404092265641 0.051402561273374218
16 1 56.056056 22.500000 0.62814404092265641 0.051402561273374218
16 2 56.056056 45.000000 0.62814404092265641 0.051402561273374218
16 3 56.056056 67.500000 0.62814404092265641 0.051402561273374218
17 0 59.559560 0.000000 0.6268486202202137 0.051466055250256437
17 1 59.559560 22.500000 0.6268486202202137 0.051466055250256437
17 2 59.559560 45.000000 0.6268486202202137 0.051466055250256437
17 3 59.559560 67.500000 0.6268486202202137 0.051466055250256437
18 0 63.063063 0.000000 0.62528920472482719 0.051334604207013607
18 1 63.063063 22.500000 0.62528920472482719 0.051334604207013607
18 2 63.063063 45.000000 0.62528920472482719 0.051334604207013607
18 3 63.063063 67.500000 0.62528920472482719 0.051334604207013607
19 0 66.566567 0.000000 0.62373463160787279 0.051030610380369608
19 1 66.566567 22.500000 0.62373463160787279 0.051030610380369608
19 2 66.566567 45.000000 0.62373463160787279 0.051030610380369608
19 3 66.566567 67.500000 0.62373463160787279 0.051030610380369608
20 0 70.070070 0.000000 0.62245252694866027 0.050606173215952663
20 1 70.070070 22.500000 0.62245252694866027 0.050606173215952663
20 2 70.070070 45.000000 0.62245252694866027 0.050606173215952663
20 3 70.070070 67.500000 0.62245252694866027 0.050606173215952663
21 0 73.573574 0.000000 0.62166327712280756 0.050134162750842183
21 1 73.573574 22.500000 0.62166327712280756 0.050134162750842183
21 2 73.573574 45.000000 0.62166327712280756 0.050134162750842183
21 3 73.573574 67.500000 0.62166327712280756 0.050134162750842183
22 0 77.077077 0.000000 0.62150248672366826 0.049695712008802261
22 1 77.077077 22.500000 0.62150248672366826 0.049695712008802261
22 2 77.077077 45.000000 0.62150248672366826 0.049695712008802261
22 3 77.077077 67.500000 0.62150248672366826 0.049695712008802261
23 0 80.580581 0.000000 0.62199809796799654 0.049366274703037602
23 1 80.580581 22.500000 0.62199809796799654 0.049366274703037602
23 2 80.580581 45.000000 0.62199809796799654 0.049366274703037602
23 3 80.580581 67.500000 0.62199809796799654 0.049366274703037602
24 0 84.084084 0.000000 0.62306575813355591 0.049202643557389084
24 1 84.084084 22.500000 0.62306575813355591 0.049202643557389084
24 2 84.084084 45.000000 0.62306575813355591 0.049202643557389084
24 3 84.084084 67.500000 0.62306575813355591 0.049202643557389084
25 0 87.587588 0.000000 0.62452305545225606 0.049233162157489241
25 1 87.587588 22.500000 0.62452305545225606 0.049233162157489241
25 2 87.587588 45.000000 0.62452305545225606 0.049233162157489241
25 3 87.587588 67.500000 0.62452305545225606 0.049233162157489241
26 0 91.091091 0.000000 0.62612029809833514 0.049452816869291094
26 1 91.091091 22.500000 0.62612029809833514 0.049452816869291094
26 2 91.091091 45.000000 0.62612029809833514 0.049452816869291094
26 3 91.091091 67.500000 0.62612029809833514 0.049452816869291094
27 0 94.594595 0.000000 0.62758289429819281 0.04982405846656035
27 1 94.594595 22.500000 0.62758289429819281 0.04982405846656035
27 2 94.594595 45.000000 0.62758289429819281 0.04982405846656035
27 3 94.594595 67.500000 0.62758289429819281 0.04982405846656035
28 0 98.098098 0.000000 0.62865840092026037 0.050283219176398601
