# Nx=1000 Ny=4 Lx=3500.0 Ly=67.5 lambda=13.50
# i j x_nm y_nm |E|^2 Re(Ey)
0 0 0.000000 0.000000 0.6295320337624879 0.069939604203308095
0 1 0.000000 22.500000 0.6295320337624879 0.069939604203308095
0 2 0.000000 45.000000 0.6295320337624879 0.069939604203308095
0 3 0.000000 67.500000 0.6295320337624879 0.069939604203308095
1 0 3.503504 0.000000 0.62914140978604605 0.07066163765845454
1 1 3.503504 22.500000 0.62914140978604605 0.07066163765845454
1 2 3.503504 45.000000 0.62914140978604605 0.07066163765845454
1 3 3.503504 67.500000 0.62914140978604605 0.07066163765845454
2 0 7.007007 0.000000 0.6280924453152763 0.071205745716067234
2 1 7.007007 22.500000 0.6280924453152763 0.071205745716067234
2 2 7.007007 45.000000 0.6280924453152763 0.071205745716067234
2 3 7.007007 67.500000 0.6280924453152763 0.071205745716067234
3 0 10.510511 0.000000 0.62656578255133866 0.071478244716771056
3 1 10.510511 22.500000 0.62656578255133866 0.071478244716771056
3 2 10.510511 45.000000 0.62656578255133866 0.071478244716771056
3 3 10.510511 67.500000 0.62656578255133866 0.071478244716771056
4 0 14.014014 0.000000 0.62482438364833248 0.071432115646701377
4 1 14.014014 22.500000 0.62482438364833248 0.071432115646701377
4 2 14.014014 45.000000 0.62482438364833248 0.071432115646701377
4 3 14.014014 67.500000 0.62482438364833248 0.071432115646701377
5 0 17.517518 0.000000 0.62316795025904004 0.071075115067184613
5 1 17.517518 22.500000 0.62316795025904004 0.071075115067184613
5 2 17.517518 45.000000 0.62316795025904004 0.071075115067184613
5 3 17.517518 67.500000 0.62316795025904004 0.071075115067184613
6 0 21.021021 0.000000 0.62188127490259504 0.070468471856066167
6 1 21.021021 22.500000 0.62188127490259504 0.070468471856066167
6 2 21.021021 45.000000 0.62188127490259504 0.070468471856066167
6 3 21.021021 67.500000 0.62188127490259504 0.070468471856066167
7 0 24.524525 0.000000 0.62118547695767334 0.0697163885641639
7 1 24.524525 22.500000 0.62118547695767334 0.0697163885641639
7 2 24.524525 45.000000 0.62118547695767334 0.0697163885641639
7 3 24.524525 67.500000 0.62118547695767334 0.0697163885641639
8 0 28.028028 0.000000 0.62120034694389403 0.068948147087729519
8 1 28.028028 22.500000 0.62120034694389403 0.068948147087729519
8 2 28.028028 45.000000 0.62120034694389403 0.068948147087729519
8 3 28.028028 67.500000 0.62120034694389403 0.068948147087729519
9 0 31.531532 0.000000 0.62192398889266765 0.06829589082392501
9 1 31.531532 22.500000 0.62192398889266765 0.06829589082392501
9 2 31.531532 45.000000 0.62192398889266765 0.06829589082392501
